memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,17.293670555378878,0.23483654233890805,5.37974168556777,20.79475373029709
8,0.1,16.721349696593776,0.1558754555570716,4.959731200249406,19.579723477363586
8,1.0,17.686810067235555,0.8259296295170272,5.579673686991672,22.305110096931458
8,10.0,16.36905067130708,0.38514579988487413,4.93894821647032,19.54440474510193
8,100.0,16.565868977140614,0.7459429777773318,5.096323016704593,19.603638350963593
16,0.0,16.55801978299853,0.2485437878413919,5.163818849312543,20.461268723011017
16,0.1,16.92700783700298,0.4618859909371673,5.152987649505994,20.956799387931824
16,1.0,17.910401765482074,0.5209244532925336,5.734469856109288,22.748804092407227
16,10.0,16.61463458717932,0.2275756892537379,5.127682421807458,20.333214104175568
16,100.0,19.085209967249785,0.09248381067361737,6.573678145671751,24.715307354927063
32,0.0,19.067669106398718,0.3295774338117987,6.567441856523044,24.618470668792725
32,0.1,17.807916156840975,0.3004190152351525,5.652092468676491,22.26865589618683
32,1.0,16.428963655614076,0.29843259949895673,5.122213730695318,19.907720386981964
32,10.0,16.55235830258045,0.3219861695161434,5.1189428376708745,20.295877754688263
32,100.0,16.6955432166998,0.26035100204668693,5.0902765508725025,20.34924030303955
64,0.0,17.820977187419903,0.23894347360352636,5.694204178269936,22.39052951335907
64,0.1,17.22979382294179,0.2772978864611322,5.367231142607031,21.330992877483368
64,1.0,17.728599670388615,0.2509087935771241,5.64500731338379,22.347991168498993
64,10.0,19.402923184249005,0.2920001657688903,6.845898425250299,25.41171908378601
64,100.0,19.912366255800713,0.41123816407463654,7.211027133948793,26.22300684452057
128,0.0,16.816137969746087,0.3772420686141326,5.1956373895624735,20.927076041698456
128,0.1,18.74453999289729,0.31126827050169986,6.332178990293946,24.08311367034912
128,1.0,16.504083860373488,0.32173969580347456,5.568465806541213,20.1459601521492
128,10.0,16.447760909541998,0.4189491431143062,5.177257153733243,19.986750185489655
128,100.0,16.656794345799785,0.28243709323445076,5.1199500876446695,20.346304774284363
